"DATE","PLAYER_FULL_NAME","Cluster","season"
2017-10-30,"Abdel Nader",0,2017
2017-10-30,"Alfonzo McKinnie",0,2017
2017-10-28,"Ante Zizic",0,2017
2017-10-25,"Bam Adebayo",0,2017
2017-10-21,"Bobby Brown",0,2017
2017-10-27,"Bobby Brown",0,2017
2017-10-21,"Brandon Paul",0,2017
2017-10-23,"Brandon Paul",0,2017
2017-10-25,"Brandon Paul",0,2017
2017-10-27,"Brandon Paul",0,2017
2017-10-21,"Brice Johnson",0,2017
2017-10-30,"Brice Johnson",0,2017
2017-10-21,"Cedi Osman",0,2017
2017-10-28,"Cedi Osman",0,2017
2017-10-29,"Cedi Osman",0,2017
2017-10-29,"Cedi Osman",0,2017
2017-10-24,"Cheick Diallo",0,2017
2017-10-26,"Cheick Diallo",0,2017
2017-10-28,"Cheick Diallo",0,2017
2017-10-30,"Cheick Diallo",0,2017
2017-10-30,"Cheick Diallo",0,2017
2017-10-29,"Chris McCullough",0,2017
2017-10-24,"Cole Aldrich",0,2017
2017-10-25,"Cole Aldrich",0,2017
2017-10-29,"D.J. Wilson",0,2017
2017-10-28,"Dakari Johnson",0,2017
2017-10-24,"Damyean Dotson",0,2017
2017-10-27,"Damyean Dotson",0,2017
2017-10-30,"Damyean Dotson",0,2017
2017-10-20,"Daniel Theis",0,2017
2017-10-24,"Daniel Theis",0,2017
2017-10-18,"Demetrius Jackson",0,2017
2017-10-27,"Derrick White",0,2017
2017-10-30,"Derrick White",0,2017
2017-10-28,"Deyonta Davis",0,2017
2017-10-27,"Frank Ntilikina",0,2017
2017-10-24,"Guerschon Yabusele",0,2017
2017-10-30,"Guerschon Yabusele",0,2017
2017-10-24,"Ike Anigbogu",0,2017
2017-10-25,"Ike Anigbogu",0,2017
2017-10-25,"Isaiah Canaan",0,2017
2017-10-23,"Isaiah Taylor",0,2017
2017-10-29,"JaKarr Sampson",0,2017
2017-10-18,"Jarell Martin",0,2017
2017-10-18,"Jarell Martin",0,2017
2017-10-20,"Joe Young",0,2017
2017-10-24,"Joe Young",0,2017
2017-10-25,"Joe Young",0,2017
2017-10-29,"Joe Young",0,2017
2017-10-20,"Johnny O'Bryant III",0,2017
2017-10-23,"Jordan Bell",0,2017
2017-10-25,"Jordan Bell",0,2017
2017-10-30,"Jordan Bell",0,2017
2017-10-21,"Jordan Mickey",0,2017
2017-10-23,"Jordan Mickey",0,2017
2017-10-22,"Josh Hart",0,2017
2017-10-22,"Josh Hart",0,2017
2017-10-21,"Josh Huestis",0,2017
2017-10-22,"Josh Huestis",0,2017
2017-10-25,"Josh Huestis",0,2017
2017-10-20,"Josh Magette",0,2017
2017-10-22,"Josh Magette",0,2017
2017-10-26,"Josh Magette",0,2017
2017-10-29,"Josh Magette",0,2017
2017-10-30,"Josh Smith",0,2017
2017-10-30,"Josh Smith",0,2017
2017-10-19,"Kay Felder",0,2017
2017-10-21,"Malik Beasley",0,2017
2017-10-23,"Malik Beasley",0,2017
2017-10-25,"Malik Beasley",0,2017
2017-10-27,"Malik Beasley",0,2017
2017-10-25,"Marcus Georges-Hunt",0,2017
2017-10-27,"Marcus Georges-Hunt",0,2017
2017-10-28,"Nick Collison",0,2017
2017-10-24,"Royce O'Neale",0,2017
2017-10-30,"Royce O'Neale",0,2017
2017-10-20,"Shane Larkin",0,2017
2017-10-21,"Sindarius Thornwell",0,2017
2017-10-24,"Sindarius Thornwell",0,2017
2017-10-26,"Sindarius Thornwell",0,2017
2017-10-28,"Sindarius Thornwell",0,2017
2017-10-30,"Sindarius Thornwell",0,2017
2017-10-29,"Sterling Brown",0,2017
2017-10-27,"Terrance Ferguson",0,2017
2017-10-28,"Terrance Ferguson",0,2017
2017-10-18,"Treveon Graham",0,2017
2017-10-29,"Trey Lyles",0,2017
2017-10-22,"Tyler Dorsey",0,2017
2017-10-23,"Tyler Dorsey",0,2017
2017-10-27,"Tyler Zeller",0,2017
2017-10-27,"Wes Iwundu",0,2017
2017-10-28,"Zach Collins",0,2017
2017-10-28,"Zhou Qi",0,2017
2017-10-24,"Aaron Brooks",1,2017
2017-10-23,"Andrew Harrison",1,2017
2017-10-25,"Andrew Harrison",1,2017
2017-10-26,"Andrew Harrison",1,2017
2017-10-28,"Andrew Harrison",1,2017
2017-10-30,"Andrew Harrison",1,2017
2017-10-18,"Bryn Forbes",1,2017
2017-10-21,"Bryn Forbes",1,2017
2017-10-23,"Bryn Forbes",1,2017
2017-10-25,"Bryn Forbes",1,2017
2017-10-27,"Bryn Forbes",1,2017
2017-10-29,"Bryn Forbes",1,2017
2017-10-30,"Bryn Forbes",1,2017
2017-10-24,"Caleb Swanigan",1,2017
2017-10-30,"Caleb Swanigan",1,2017
2017-10-26,"Darius Miller",1,2017
2017-10-28,"Darius Miller",1,2017
2017-10-30,"Darius Miller",1,2017
2017-10-30,"Darius Miller",1,2017
2017-10-20,"Dragan Bender",1,2017
2017-10-20,"Ekpe Udoh",1,2017
2017-10-29,"Frank Mason",1,2017
2017-10-19,"Fred VanVleet",1,2017
2017-10-21,"Fred VanVleet",1,2017
2017-10-23,"Fred VanVleet",1,2017
2017-10-25,"Fred VanVleet",1,2017
2017-10-27,"Fred VanVleet",1,2017
2017-10-30,"Fred VanVleet",1,2017
2017-10-22,"Isaiah Taylor",1,2017
2017-10-26,"Isaiah Taylor",1,2017
2017-10-27,"Isaiah Taylor",1,2017
2017-10-24,"Jabari Bird",1,2017
2017-10-18,"Jake Layman",1,2017
2017-10-20,"Jake Layman",1,2017
2017-10-25,"Jose Calderon",1,2017
2017-10-21,"Kay Felder",1,2017
2017-10-21,"Malachi Richardson",1,2017
2017-10-29,"Malachi Richardson",1,2017
2017-10-25,"Malik Monk",1,2017
2017-10-24,"Marcus Georges-Hunt",1,2017
2017-10-21,"Mario Chalmers",1,2017
2017-10-21,"Mario Chalmers",1,2017
2017-10-18,"Mike Scott",1,2017
2017-10-27,"Mike Scott",1,2017
2017-10-25,"Okaro White",1,2017
2017-10-30,"Okaro White",1,2017
2017-10-30,"Shane Larkin",1,2017
2017-10-18,"Trey Lyles",1,2017
2017-10-21,"Trey Lyles",1,2017
2017-10-25,"Trey Lyles",1,2017
2017-10-30,"Wesley Johnson",1,2017
2017-10-25,"Aaron Brooks",2,2017
2017-10-25,"Alex Poythress",2,2017
2017-10-28,"Bobby Brown",2,2017
2017-10-18,"Davis Bertans",2,2017
2017-10-27,"Davis Bertans",2,2017
2017-10-29,"Davis Bertans",2,2017
2017-10-30,"Davis Bertans",2,2017
2017-10-18,"Dejounte Murray",2,2017
2017-10-30,"Doug McDermott",2,2017
2017-10-25,"Henry Ellenson",2,2017
2017-10-18,"Ian Clark",2,2017
2017-10-18,"Ian Clark",2,2017
2017-10-20,"Ian Clark",2,2017
2017-10-29,"Isaiah Taylor",2,2017
2017-10-27,"Jarrett Jack",2,2017
2017-10-20,"Jonathon Simmons",2,2017
2017-10-21,"Jonathon Simmons",2,2017
2017-10-20,"Jose Calderon",2,2017
2017-10-21,"Jose Calderon",2,2017
2017-10-28,"Jose Calderon",2,2017
2017-10-29,"Jose Calderon",2,2017
2017-10-29,"Jose Calderon",2,2017
2017-10-21,"Juan Hernangomez",2,2017
2017-10-26,"Justin Jackson",2,2017
2017-10-29,"Justin Jackson",2,2017
2017-10-18,"Luke Babbitt",2,2017
2017-10-20,"Luke Babbitt",2,2017
2017-10-22,"Luke Babbitt",2,2017
2017-10-23,"Luke Babbitt",2,2017
2017-10-26,"Luke Babbitt",2,2017
2017-10-27,"Luke Babbitt",2,2017
2017-10-29,"Luke Babbitt",2,2017
2017-10-18,"Malachi Richardson",2,2017
2017-10-18,"Malik Beasley",2,2017
2017-10-29,"Malik Beasley",2,2017
2017-10-30,"Malik Beasley",2,2017
2017-10-30,"Marreese Speights",2,2017
2017-10-30,"Marreese Speights",2,2017
2017-10-18,"Meyers Leonard",2,2017
2017-10-24,"Meyers Leonard",2,2017
2017-10-20,"Mike Scott",2,2017
2017-10-23,"Mike Scott",2,2017
2017-10-25,"Mike Scott",2,2017
2017-10-29,"Mike Scott",2,2017
2017-10-18,"Mirza Teletovic",2,2017
2017-10-20,"Mirza Teletovic",2,2017
2017-10-21,"Mirza Teletovic",2,2017
